CustomerID,AutoRenewalEnabled,PaymentMethod,PaymentFailures
15634602,Maybe,Credit Card,0
15647311,No,PayPal,5
15619304,Yes,Credit Card,5
,No,PayPal,1
15737888,No,Bank Transfer,2
15574012,Yes,Credit Card,4
15592531,No,Bank Transfer,4
15656148,No,Credit Card,3
15792365,Yes,Credit Card,5
15592389,Yes,PayPal,2
15767821,No,Credit Card,1
15737173,Yes,PayPal,0
15632264,No,Bank Transfer,2
15691483,Yes,Credit Card,5
,No,Credit Card,1
15643966,No,PayPal,1
15737452,No,PayPal,1
15788218,No,PayPal,1
15661507,Yes,PayPal,3
15568982,Yes,PayPal,2
15577657,Yes,Bank Transfer,5
15597945,No,PayPal,1
15699309,No,Credit Card,0
15725737,No,Credit Card,5
15625047,Yes,Bank Transfer,3
15738191,No,PayPal,4
15736816,Yes,PayPal,2
15700772,No,PayPal,5
15728693,Yes,Bank Transfer,5
,No,Credit Card,1
15589475,Yes,Bank Transfer,0
,Yes,Credit Card,4
15750181,Yes,PayPal,3
,No,Bank Transfer,2
15732963,Yes,Credit Card,3
,No,Credit Card,1
15788448,No,PayPal,4
15729599,No,PayPal,2
15717426,No,Credit Card,3
,Yes,Credit Card,3
15619360,No,PayPal,1
15738148,Yes,PayPal,3
15687946,No,PayPal,5
15755196,Yes,Bank Transfer,0
15684171,No,Credit Card,4
15754849,Yes,PayPal,0
15602280,Yes,Bank Transfer,2
15771573,No,Credit Card,2
15766205,No,Credit Card,5
15771873,Yes,PayPal,0
15616550,Yes,Bank Transfer,2
15768193,Yes,Bank Transfer,1
15683553,No,Bank Transfer,0
15702298,,Credit Card,1
15569590,No,Bank Transfer,3
15760861,Yes,Credit Card,4
15630053,Yes,Credit Card,5
15647091,No,PayPal,4
15623944,No,PayPal,0
15804771,Yes,Bank Transfer,4
15651280,Yes,Bank Transfer,0
15773469,Yes,Credit Card,1
15702014,No,PayPal,1
15751208,Yes,Credit Card,4
15592461,No,Credit Card,5
15789484,Yes,Bank Transfer,5
15696061,Yes,Credit Card,4
15641582,Yes,Bank Transfer,0
15638424,Yes,PayPal,0
15755648,No,Bank Transfer,3
15703793,No,Credit Card,4
15620344,No,Bank Transfer,1
15812518,No,Bank Transfer,1
15779052,No,Bank Transfer,5
15770811,Yes,PayPal,0
15780961,,PayPal,2
,No,PayPal,4
15662085,No,Bank Transfer,3
15575185,No,Credit Card,5
15803136,Yes,Bank Transfer,1
,No,Bank Transfer,3
15663706,Yes,Bank Transfer,1
15641732,Yes,Credit Card,2
15701164,Yes,Credit Card,2
15738751,No,PayPal,1
15805254,Yes,PayPal,2
15762418,No,Bank Transfer,5
15625759,No,PayPal,1
,Yes,PayPal,1
15767954,No,Bank Transfer,2
15757535,Yes,PayPal,1
15731511,Yes,Bank Transfer,4
,No,PayPal,4
15640635,,PayPal,2
15676966,Yes,Credit Card,2
15699461,Yes,Credit Card,3
,No,Credit Card,3
15693683,Yes,Bank Transfer,2
15604348,Yes,Credit Card,3
15633059,No,Bank Transfer,3
15808582,Yes,Bank Transfer,4
,No,PayPal,1
15580146,No,Bank Transfer,0
15776605,No,Bank Transfer,0
15804919,Yes,Credit Card,4
15613854,No,Credit Card,2
,No,Bank Transfer,2
,Yes,PayPal,3
,Yes,Bank Transfer,1
15744689,No,PayPal,5
15803526,Yes,Bank Transfer,4
15665790,Yes,PayPal,3
15715951,No,PayPal,3
15591100,Yes,PayPal,1
15609618,No,Credit Card,3
15675522,,Credit Card,1
15705512,No,Bank Transfer,0
15698028,No,Credit Card,5
15661670,,Credit Card,1
,Yes,Credit Card,2
15682472,Yes,Bank Transfer,1
15580203,Yes,PayPal,2
15690673,No,PayPal,3
15760085,Yes,Credit Card,3
15779659,No,Bank Transfer,3
15627360,Yes,PayPal,5
15671137,No,PayPal,1
15782688,No,Credit Card,5
15575492,No,Bank Transfer,3
15591607,Yes,Bank Transfer,0
15740404,Yes,Credit Card,4
15718369,Yes,Bank Transfer,5
15677871,Yes,Credit Card,1
15642004,Yes,Bank Transfer,2
15712543,No,Credit Card,0
15584518,Yes,PayPal,5
15802381,,Credit Card,4
15610156,No,Bank Transfer,2
15594408,Yes,Credit Card,4
15640905,,PayPal,1
15698932,No,Credit Card,5
15724944,,Credit Card,0
15628145,Yes,PayPal,3
15713483,Yes,PayPal,2
15612350,No,Bank Transfer,2
15800703,Yes,PayPal,2
15705707,No,PayPal,1
15754105,Yes,PayPal,1
15703264,No,PayPal,3
15794413,No,PayPal,1
15650237,No,PayPal,4
15759618,No,Bank Transfer,1
15811589,Yes,Bank Transfer,1
15689044,No,Credit Card,0
15709368,Yes,PayPal,1
15679145,Yes,PayPal,0
15655007,No,PayPal,0
15623595,No,PayPal,4
15589975,Yes,Bank Transfer,4
15804017,No,PayPal,0
15692132,No,Bank Transfer,2
15641122,Yes,PayPal,5
15630910,No,PayPal,0
15680772,,PayPal,1
15658929,Yes,Bank Transfer,5
15585388,Yes,PayPal,3
15724623,No,PayPal,5
15588537,Yes,PayPal,2
15574692,No,Bank Transfer,4
15611325,Yes,PayPal,2
15587562,No,Credit Card,3
15613172,No,PayPal,1
15651022,No,PayPal,1
15586310,Yes,Bank Transfer,2
15625524,No,Bank Transfer,2
15755209,No,PayPal,0
15645248,Yes,Credit Card,4
15790355,Yes,PayPal,2
15762615,Yes,Bank Transfer,5
15625426,No,Credit Card,0
15716334,No,Bank Transfer,1
15789669,Yes,Bank Transfer,3
15621075,No,Bank Transfer,0
15810845,Yes,Bank Transfer,2
15719377,Yes,PayPal,3
15654506,No,Bank Transfer,4
15771977,No,Credit Card,2
15708710,Yes,Bank Transfer,2
15726676,No,Credit Card,5
15587421,Yes,Bank Transfer,4
15726931,Yes,Credit Card,1
15771086,No,PayPal,4
15756850,No,Bank Transfer,4
15702741,,Credit Card,5
15679200,Yes,Credit Card,4
15594815,Yes,Credit Card,4
15635905,Yes,Bank Transfer,4
15777892,Yes,PayPal,1
15656176,Yes,Bank Transfer,5
15811127,Yes,Bank Transfer,4
15604482,No,PayPal,3
15622911,Yes,Bank Transfer,2
15600974,Yes,PayPal,2
15727868,Yes,Bank Transfer,4
15627801,Yes,Credit Card,4
15773039,No,PayPal,0
15755262,No,PayPal,2
15679531,No,PayPal,5
15684181,No,PayPal,0
15612087,No,PayPal,5
15752047,Yes,Credit Card,2
15624592,Yes,Credit Card,5
15573152,No,PayPal,2
15594917,No,PayPal,1
15785542,Yes,Bank Transfer,1
15723488,Yes,Credit Card,4
15680920,Yes,PayPal,0
15786308,No,Credit Card,5
15659366,,PayPal,3
15774854,Yes,Credit Card,2
15725311,Yes,Bank Transfer,4
15787155,No,PayPal,5
15727829,Yes,Credit Card,0
15733247,,PayPal,1
15568748,Yes,Bank Transfer,4
15699029,No,PayPal,0
15774393,Yes,Bank Transfer,2
15676895,No,Credit Card,5
15637753,No,Credit Card,5
15605461,Yes,Credit Card,4
15808473,No,Bank Transfer,3
15627000,No,Credit Card,0
15787174,No,Credit Card,1
15723886,Yes,Credit Card,3
15704769,No,Bank Transfer,3
15772896,Yes,Credit Card,4
15711540,Yes,Credit Card,5
15764866,No,Credit Card,5
15794056,No,PayPal,4
15795149,No,Credit Card,1
15812009,No,PayPal,5
15651001,No,Credit Card,0
15813844,Yes,PayPal,0
15596175,No,PayPal,2
15576269,Yes,Bank Transfer,4
15797219,No,PayPal,1
15685500,No,Bank Transfer,1
15599792,Yes,Bank Transfer,2
15657566,Yes,Credit Card,2
15772423,No,Credit Card,5
15628112,No,PayPal,2
,,Credit Card,4
15793726,Yes,PayPal,2
15694717,No,PayPal,4
15665834,No,Bank Transfer,3
15765297,Yes,PayPal,2
15636684,No,Bank Transfer,1
15592979,Yes,Credit Card,5
15750803,No,PayPal,0
,No,Credit Card,1
15713853,No,Credit Card,4
15673481,Yes,Bank Transfer,2
15686776,No,Bank Transfer,0
,No,Credit Card,4
15700696,Yes,Credit Card,1
15813163,No,Credit Card,0
15653857,No,PayPal,5
15777076,No,Credit Card,1
15717398,No,Credit Card,5
15799217,Yes,Credit Card,2
15787071,No,Credit Card,5
15619955,No,Bank Transfer,4
15796505,No,PayPal,0
15725166,Yes,Bank Transfer,5
15800116,Yes,Bank Transfer,3
15758685,No,Bank Transfer,4
15694456,Yes,Bank Transfer,2
15767339,No,Bank Transfer,3
15683562,No,PayPal,2
15782210,Yes,Bank Transfer,1
15668893,Yes,PayPal,3
15669169,Yes,Bank Transfer,2
15643024,Yes,PayPal,3
15699389,No,PayPal,2
15708608,Yes,Credit Card,3
15626144,Yes,PayPal,0
15573112,Yes,PayPal,2
15790678,Yes,PayPal,0
15727556,Yes,PayPal,1
15697307,Yes,Bank Transfer,5
