CustomerID,NetPromoterScore,SatisfactionSurveyScore,CustomerLoyaltyProgram,RewardPointsBalance
15634602.0,78.0,5,No,98
15647311.0,-77.0,10,Yes,1085
15619304.0,47.0,9,No,6552
,-9.0,5,No,529
15737888.0,-68.0,10,No,8673
15574012.0,89.0,9,Yes,3428
15592531.0,-26.0,3,No,9931
15656148.0,8.0,4,Yes,8212
15792365.0,-43.0,8,Yes,9271
15592389.0,-49.0,8,Yes,6115
15767821.0,-64.0,8,Yes,2698
15737173.0,47.0,1,No,858
15632264.0,-78.0,2,Yes,301
15691483.0,10.0,8,No,1465
,-39.0,1,No,7558
15643966.0,-11.0,2,Yes,4604
15737452.0,-99.0,4,No,2254
15788218.0,-51.0,5,No,146
15661507.0,-41.0,6,No,2174
15568982.0,45.0,2,Yes,3326
15577657.0,57.0,1,No,236
15597945.0,25.0,9,Yes,8829
15699309.0,25.0,2,Yes,1660
15725737.0,83.0,8,No,6158
15625047.0,51.0,4,Yes,852
15738191.0,60.0,3,No,6797
15736816.0,-51.0,1,No,8289
15700772.0,-87.0,5,Yes,4957
15728693.0,-49.0,3,Yes,2992
,57.0,1,No,236
15589475.0,-77.0,10,Yes,1085
,33.0,9,No,412
15750181.0,-62.0,7,No,5706
,-11.0,2,Yes,4604
15732963.0,-2.0,2,No,3722
,31.0,4,No,9089
15788448.0,-77.0,8,No,4447
15729599.0,84.0,6,Yes,4663
15717426.0,-26.0,2,No,7318
,-1.0,6,No,2924
15619360.0,14.0,5,No,6332
15738148.0,60.0,3,No,6797
15687946.0,49.0,5,No,6508
15755196.0,89.0,1,No,2779
15684171.0,33.0,9,No,412
15754849.0,89.0,1,No,2779
15602280.0,21.0,2,No,2217
15771573.0,-15.0,10,No,1898
15766205.0,76.0,7,Yes,7641
15771873.0,71.0,5,No,5229
15616550.0,-43.0,8,Yes,9271
15768193.0,-81.0,4,Yes,4430
15683553.0,-90.0,6,No,312
15702298.0,,10,No,9666
15569590.0,-31.0,9,Yes,5261
15760861.0,51.0,8,Yes,5900
15630053.0,-39.0,1,No,7558
15647091.0,34.0,7,No,8381
15623944.0,11.0,6,Yes,5117
15804771.0,-53.0,1,No,6575
15651280.0,-40.0,6,No,1593
15773469.0,-31.0,9,Yes,5261
15702014.0,-99.0,1,Yes,3772
15751208.0,89.0,2,Yes,1725
15592461.0,-69.0,1,Yes,9646
15789484.0,-42.0,4,No,9387
15696061.0,-26.0,2,No,7318
15641582.0,-10.0,4,No,265
15638424.0,67.0,9,Yes,5592
15755648.0,25.0,2,Yes,1660
15703793.0,-10.0,4,No,265
15620344.0,47.0,6,No,8035
15812518.0,49.0,5,No,6508
15779052.0,33.0,1,Yes,6439
15770811.0,86.0,7,No,424
15780961.0,,4,No,3074
,8.0,4,Yes,8212
15662085.0,85.0,8,Yes,1272
15575185.0,-91.0,6,No,3147
15803136.0,-10.0,4,Yes,4600
,-30.0,1,No,716
15663706.0,34.0,7,No,8381
15641732.0,50.0,7,No,8565
15701164.0,-11.0,2,Yes,7926
15738751.0,86.0,7,No,6839
15805254.0,-70.0,3,Yes,7639
15762418.0,-87.0,5,Yes,4957
15625759.0,-15.0,10,No,1898
,-41.0,6,No,2174
15767954.0,-26.0,3,No,9931
15757535.0,-22.0,1,Yes,6067
15731511.0,-16.0,7,Yes,3301
,57.0,1,No,236
15640635.0,,2,Yes,6105
15676966.0,4.0,6,Yes,6017
15699461.0,-84.0,2,No,6003
,89.0,1,No,2779
15693683.0,45.0,2,Yes,3326
15604348.0,-30.0,1,No,716
15633059.0,55.0,1,No,8897
15808582.0,-42.0,4,No,9387
,-22.0,1,Yes,6067
15580146.0,-62.0,7,No,5706
15776605.0,-3.0,6,No,8923
15804919.0,-55.0,1,No,4084
15613854.0,24.0,4,No,2791
,-53.0,4,Yes,5940
,80.0,6,Yes,1963
,60.0,3,No,6797
15744689.0,-89.0,9,Yes,6501
15803526.0,-38.0,2,Yes,9955
15665790.0,-29.0,2,Yes,8661
15715951.0,-84.0,7,No,7488
15591100.0,-87.0,5,Yes,4957
15609618.0,64.0,5,Yes,6546
15675522.0,,6,No,7395
15705512.0,89.0,1,No,2779
15698028.0,64.0,5,Yes,6546
15661670.0,,5,Yes,3317
,10.0,8,No,1465
15682472.0,71.0,8,No,8328
15580203.0,55.0,1,No,8897
15690673.0,7.0,6,No,6276
15760085.0,-43.0,8,Yes,9271
15779659.0,25.0,2,Yes,1660
15627360.0,61.0,2,No,6032
15671137.0,-19.0,6,Yes,180
15782688.0,63.0,10,Yes,5053
15575492.0,-81.0,4,Yes,4430
15591607.0,-26.0,2,No,7318
15740404.0,-70.0,5,Yes,3942
15718369.0,-78.0,6,Yes,4710
15677871.0,-42.0,4,No,9387
15642004.0,85.0,8,Yes,1272
15712543.0,0.0,1,No,1938
15584518.0,75.0,5,Yes,2097
15802381.0,,8,No,1465
15610156.0,59.0,8,Yes,3012
15594408.0,56.0,7,No,8815
15640905.0,,1,No,858
15698932.0,-51.0,10,Yes,3586
15724944.0,,9,Yes,5261
15628145.0,-11.0,2,Yes,4604
15713483.0,11.0,6,Yes,5117
15612350.0,-41.0,1,Yes,7938
15800703.0,79.0,3,Yes,648
15705707.0,56.0,4,Yes,3302
15754105.0,63.0,10,Yes,5053
15703264.0,-22.0,1,Yes,6067
15794413.0,-22.0,1,Yes,6067
15650237.0,31.0,4,No,9089
15759618.0,-99.0,4,No,2254
15811589.0,11.0,5,No,6715
15689044.0,55.0,1,No,8897
15709368.0,-64.0,8,Yes,2698
15679145.0,-3.0,6,No,8923
15655007.0,68.0,10,No,7855
15623595.0,86.0,7,No,6839
15589975.0,25.0,2,No,7978
15804017.0,14.0,8,No,2346
15692132.0,-71.0,10,No,5778
15641122.0,83.0,5,No,6454
15630910.0,67.0,5,No,5364
15680772.0,,4,Yes,8412
15658929.0,89.0,2,Yes,1725
15585388.0,85.0,8,Yes,1272
15724623.0,12.0,9,Yes,5734
15588537.0,-78.0,2,Yes,301
15574692.0,-1.0,6,No,2924
15611325.0,-67.0,5,Yes,4042
15587562.0,47.0,6,No,8035
15613172.0,-77.0,10,Yes,1085
15651022.0,99.0,1,Yes,1131
15586310.0,-91.0,6,No,3147
15625524.0,59.0,8,Yes,3012
15755209.0,-3.0,10,Yes,7717
15645248.0,-42.0,9,No,4768
15790355.0,20.0,2,Yes,691
15762615.0,96.0,1,No,4544
15625426.0,56.0,9,No,2608
15716334.0,-57.0,9,Yes,4282
15789669.0,34.0,7,Yes,9904
15621075.0,31.0,4,No,9089
15810845.0,15.0,5,Yes,1835
15719377.0,33.0,1,Yes,6439
15654506.0,-65.0,1,Yes,5241
15771977.0,53.0,2,No,7238
15708710.0,22.0,8,Yes,601
15726676.0,67.0,5,No,5364
15587421.0,8.0,6,No,7013
15726931.0,-11.0,8,Yes,3077
15771086.0,29.0,1,No,1156
15756850.0,-30.0,1,No,716
15702741.0,,2,Yes,2720
15679200.0,-11.0,8,Yes,3077
15594815.0,-2.0,2,No,3722
15635905.0,-67.0,8,No,5186
15777892.0,-49.0,3,Yes,2992
15656176.0,-64.0,8,Yes,2698
15811127.0,-91.0,6,No,3147
15604482.0,14.0,5,No,6332
15622911.0,56.0,4,Yes,3302
15600974.0,25.0,9,Yes,8829
15727868.0,43.0,7,Yes,9095
15627801.0,-58.0,10,No,1059
15773039.0,-88.0,10,No,7344
15755262.0,45.0,2,Yes,3326
15679531.0,96.0,1,No,4544
15684181.0,20.0,2,Yes,691
15612087.0,-55.0,1,No,4084
15752047.0,11.0,6,Yes,5117
15624592.0,-32.0,1,No,9085
15573152.0,-32.0,1,No,9085
15594917.0,75.0,5,Yes,2097
15785542.0,-32.0,1,No,9085
15723488.0,-22.0,9,No,4371
15680920.0,20.0,2,Yes,691
15786308.0,-2.0,2,No,3722
15659366.0,,5,No,5031
15774854.0,14.0,8,No,2346
15725311.0,-80.0,10,Yes,2717
15787155.0,-41.0,1,Yes,7938
15727829.0,-36.0,8,No,1824
15733247.0,,10,No,9666
15568748.0,56.0,4,Yes,3302
15699029.0,74.0,6,No,303
15774393.0,-77.0,8,No,4447
15676895.0,75.0,5,Yes,2097
15637753.0,21.0,2,No,2217
15605461.0,-69.0,1,No,873
15808473.0,-70.0,5,Yes,3942
15627000.0,-38.0,2,Yes,9955
15787174.0,97.0,6,No,2853
15723886.0,-99.0,4,No,3074
15704769.0,66.0,7,Yes,5115
15772896.0,-11.0,2,Yes,7926
15711540.0,-89.0,1,Yes,6250
15764866.0,-84.0,2,No,6003
15794056.0,-29.0,2,Yes,8661
15795149.0,99.0,3,No,8541
15812009.0,38.0,8,No,6903
15651001.0,-90.0,6,No,312
15813844.0,87.0,6,Yes,8007
15596175.0,99.0,10,Yes,1217
15576269.0,60.0,3,No,7621
15797219.0,-10.0,4,No,265
15685500.0,76.0,7,Yes,7641
15599792.0,59.0,8,Yes,3012
15657566.0,-69.0,1,Yes,9646
15772423.0,24.0,4,No,2791
15628112.0,78.0,5,No,98
,,2,Yes,6105
15793726.0,56.0,4,Yes,3302
15694717.0,33.0,9,No,412
15665834.0,-2.0,2,No,3722
15765297.0,76.0,7,Yes,7641
15636684.0,-84.0,7,No,7488
15592979.0,12.0,9,Yes,5734
15750803.0,99.0,10,Yes,1217
,-78.0,6,Yes,4710
15713853.0,-11.0,8,Yes,3077
15673481.0,14.0,5,No,6332
15686776.0,-27.0,5,Yes,9145
,40.0,7,No,7104
15700696.0,-1.0,8,Yes,3914
15813163.0,-99.0,4,No,2254
15653857.0,-58.0,10,No,1059
15777076.0,-22.0,9,No,4371
15717398.0,51.0,8,Yes,5900
15799217.0,4.0,6,Yes,6017
15787071.0,-70.0,3,Yes,7639
15619955.0,-63.0,3,No,2644
15796505.0,28.0,2,Yes,2063
15725166.0,-51.0,5,No,146
15800116.0,7.0,6,No,6276
15758685.0,8.0,6,No,7013
15694456.0,99.0,1,Yes,1131
15767339.0,10.0,8,No,1465
15683562.0,-70.0,3,Yes,7639
15782210.0,-3.0,8,Yes,4455
15668893.0,-11.0,2,Yes,4604
15669169.0,-60.0,2,No,2691
15643024.0,23.0,10,No,6431
15699389.0,38.0,5,Yes,3317
15708608.0,47.0,1,No,858
15626144.0,-49.0,3,Yes,2992
15573112.0,-10.0,4,Yes,4600
15790678.0,-60.0,2,No,2691
15727556.0,79.0,3,Yes,648
15697307.0,78.0,5,No,98
,-87.0,5,Yes,4957
15607098.0,71.0,5,No,5229
15655774.0,-19.0,6,Yes,180
