CustomerID,CompetitorWebsiteVisits,ChurnedFriends,MarketSentimentScore
15634602,10,3,Negative
15647311,8,0,Positive
15619304,9,3,Positive
15701354,1,2,Positive
15737888,3,2,Negative
15574012,3,3,Positive
15592531,7,0,Negative
15656148,9,3,Neutral
15792365,8,0,Positive
15592389,5,5,Positive
15767821,5,3,Positive
15737173,1,5,Negative
15632264,5,1,Negative
15691483,3,4,Negative
15600882,6,4,Positive
15643966,2,3,Neutral
15737452,5,2,Positive
15788218,8,3,Negative
15661507,10,5,Neutral
15568982,7,4,Positive
15577657,10,0,Negative
15597945,7,5,Neutral
15699309,6,1,Negative
15725737,7,5,Neutral
15625047,2,5,Neutral
15738191,4,0,Negative
15736816,2,2,Negative
15700772,9,2,Neutral
15728693,4,0,Positive
15656300,0,3,Positive
15589475,6,1,Negative
15706552,7,0,Neutral
15750181,10,5,Neutral
15659428,9,0,Negative
15732963,1,0,Neutral
15794171,2,0,Positive
15788448,0,5,Negative
15729599,9,3,Positive
15717426,8,5,Neutral
15585768,5,4,Positive
15619360,4,5,Neutral
15738148,9,3,Negative
15687946,6,3,Negative
15755196,2,5,Neutral
15684171,3,2,Negative
15754849,4,4,Negative
15602280,7,4,Positive
15771573,6,4,Negative
15766205,3,3,Positive
15771873,1,2,Positive
15616550,0,3,Negative
15768193,5,1,Positive
15683553,9,3,Positive
15702298,5,5,Positive
15569590,1,1,Neutral
15760861,8,3,Neutral
15630053,7,3,Neutral
15647091,6,2,Neutral
15623944,0,0,Negative
15804771,7,1,Positive
15651280,9,3,Neutral
15773469,3,5,Neutral
15702014,1,3,Positive
15751208,6,3,Positive
15592461,1,4,Positive
15789484,9,2,Neutral
15696061,8,2,Neutral
15641582,0,1,Negative
15638424,10,5,Neutral
15755648,0,1,Negative
15703793,5,4,Positive
15620344,7,5,Neutral
15812518,9,1,Neutral
15779052,4,5,Neutral
15770811,1,3,Neutral
15780961,6,1,Negative
15614049,10,2,Positive
15662085,10,4,Positive
15575185,5,2,Positive
15803136,0,3,Negative
15706021,10,4,Positive
15663706,3,3,Neutral
15641732,3,2,Negative
15701164,3,5,Neutral
15738751,1,1,Neutral
15805254,8,2,Negative
15762418,0,5,Neutral
15625759,3,2,Negative
15622897,10,3,Negative
15767954,9,1,Positive
15757535,4,4,Negative
15731511,6,4,Neutral
15809248,3,5,Neutral
15640635,0,5,Positive
15676966,8,2,Neutral
15699461,10,4,Neutral
15738721,4,3,Negative
15693683,4,1,Positive
15604348,3,3,Neutral
15633059,2,0,Neutral
15808582,5,3,Negative
15743192,8,4,Neutral
15580146,7,5,Neutral
15776605,4,4,Negative
15804919,0,0,Negative
15613854,8,4,Neutral
15599195,0,4,Negative
15812878,9,2,Neutral
15602312,4,4,Neutral
15744689,3,4,Negative
15803526,0,5,Neutral
15665790,4,3,Negative
15715951,9,0,Positive
15591100,7,5,Positive
15609618,8,3,Neutral
15675522,0,3,Negative
15705512,10,5,Negative
15698028,1,0,Positive
15661670,9,0,Positive
15600781,2,3,Neutral
15682472,7,3,Negative
15580203,4,5,Neutral
15690673,10,2,Positive
15760085,8,2,Neutral
15779659,0,0,Negative
15627360,9,3,Negative
15671137,0,3,Positive
15782688,10,4,Positive
15575492,5,1,Positive
15591607,7,2,Neutral
15740404,3,4,Neutral
15718369,3,5,Positive
15677871,0,3,Positive
15642004,1,3,Neutral
15712543,2,3,Neutral
15584518,0,1,Neutral
15802381,4,5,Neutral
15610156,10,0,Negative
15594408,9,4,Positive
15640905,4,5,Neutral
15698932,6,3,Neutral
15724944,3,2,Negative
15628145,0,3,Negative
