CustomerID,Name,Age,Gender,Geography,SubscriptionPlan
15565701,Customer 1,64,Female,UK,Basic
15565706,Customer 2,32,Male,France,Basic
15565714,Customer 3,40,Female,Germany,Basic
15565779,Customer 4,42,Female,Germany,Standard
15565796,Customer 5,70,Male,UK,Premium
15565806,Customer 6,28,Female,Germany,Premium
15565878,Customer 7,60,Male,Germany,Standard
15565879,Customer 8,20,Male,Germany,Standard
15565891,Customer 9,44,Female,France,Standard
15565996,Customer 10,65,Female,France,Premium
15566030,Customer 11,19,Male,Canada,Basic
15566091,Customer 12,52,Male,Germany,Standard
15566111,Customer 13,39,Male,Canada,Standard
15566139,Customer 14,54,Male,Canada,Basic
15566156,Customer 15,32,Male,Germany,Standard
15566211,Customer 16,30,Male,UK,Basic
15566251,Customer 17,51,Female,Germany,Standard
15566253,Customer 18,41,Female,Canada,Basic
15566269,Customer 19,63,Female,Germany,Basic
15566292,Customer 20,57,Male,USA,Standard
15566295,Customer 21,47,Male,UK,Premium
15566312,Customer 22,59,Female,France,Standard
15566378,Customer 23,39,Male,Germany,Basic
15566380,Customer 24,47,Male,UK,Basic
15566467,Customer 25,64,Female,France,Basic
15566494,Customer 26,62,Female,USA,Premium
15566495,Customer 27,57,Female,France,Standard
15566531,Customer 28,18,Male,Canada,Basic
15566543,Customer 29,47,Male,USA,Premium
15566563,Customer 30,56,Female,USA,Basic
15566594,Customer 31,54,Male,UK,Basic
15566633,Customer 32,23,Female,UK,Basic
15566660,Customer 33,30,Male,Germany,Basic
15566689,Customer 34,41,Female,Canada,Basic
15566708,Customer 35,38,Female,USA,Standard
15566735,Customer 36,48,Female,USA,Basic
15566740,Customer 37,55,Male,USA,Standard
15566790,Customer 38,43,Female,France,Standard
15566843,Customer 39,29,Male,Germany,Premium
15566891,Customer 40,65,Female,Germany,Premium
15566894,Customer 41,49,Female,Canada,Standard
15566958,Customer 42,32,Female,USA,Premium
15566988,Customer 43,61,Female,USA,Premium
15567013,Customer 44,66,Male,Canada,Premium
15567063,Customer 45,22,Male,USA,Premium
15567078,Customer 46,54,Female,France,Basic
15567114,Customer 47,27,Female,UK,Standard
15567147,Customer 48,21,Male,Canada,Standard
15567246,Customer 49,62,Male,Germany,Standard
15567328,Customer 50,61,Male,France,Premium
15567333,Customer 51,59,Female,France,Basic
15567335,Customer 52,51,Male,Canada,Standard
15567339,Customer 53,47,Female,Germany,Standard
15567367,Customer 54,38,Female,France,Premium
15567383,Customer 55,31,Female,USA,Standard
15567399,Customer 56,24,Male,UK,Standard
15567422,Customer 57,26,Female,Germany,Basic
15567431,Customer 58,66,Female,France,Premium
15567437,Customer 59,53,Female,UK,Premium
15567442,Customer 60,22,Male,Canada,Standard
15567446,Customer 61,64,Female,Canada,Premium
15567486,Customer 62,66,Male,Germany,Premium
15567506,Customer 63,35,Male,Canada,Basic
15567557,Customer 64,55,Female,France,Premium
15567630,Customer 65,70,Female,Germany,Basic
15567725,Customer 66,39,Female,France,Basic
15567778,Customer 67,18,Male,UK,Premium
15567802,Customer 68,26,Male,Canada,Basic
15567832,Customer 69,30,Male,Germany,Premium
15567834,Customer 70,56,Female,Canada,Basic
15567839,Customer 71,37,Male,France,Basic
15567855,Customer 72,34,Male,UK,Basic
15567860,Customer 73,32,Male,UK,Premium
15567893,Customer 74,20,Male,Germany,Basic
15567897,Customer 75,52,Female,Germany,Standard
15567919,Customer 76,38,Female,Canada,Standard
15567923,Customer 77,49,Female,Canada,Premium
15567980,Customer 78,53,Male,UK,Standard
15567991,Customer 79,37,Male,Germany,Premium
15567993,Customer 80,58,Female,USA,Premium
15568006,Customer 81,63,Male,Canada,Premium
15568025,Customer 82,20,Male,Germany,Premium
15568032,Customer 83,68,Female,UK,Standard
15568044,Customer 84,63,Female,USA,Premium
15568046,Customer 85,51,Male,USA,Premium
15568088,Customer 86,29,Male,Germany,Premium
15568104,Customer 87,23,Female,USA,Standard
15568106,Customer 88,36,Female,Germany,Standard
15568120,Customer 89,46,Female,Germany,Basic
15568162,Customer 90,55,Male,Canada,Basic
15568164,Customer 91,51,Female,USA,Standard
15568238,Customer 92,60,Male,France,Basic
15568240,Customer 93,48,Female,USA,Premium
15568326,Customer 94,47,Female,UK,Standard
15568328,Customer 95,20,Female,Germany,Basic
15568360,Customer 96,66,Female,France,Standard
15568429,Customer 97,43,Male,UK,Premium
15568449,Customer 98,39,Female,Canada,Standard
15568469,Customer 99,18,Female,USA,Premium
15568487,Customer 100,29,Male,France,Basic
15568506,Customer 101,45,Male,France,Premium
15568519,Customer 102,65,Male,Canada,Standard
15568562,Customer 103,59,Female,France,Premium
15568573,Customer 104,53,Male,USA,Basic
15568595,Customer 105,70,Female,France,Standard
15568742,Customer 106,49,Female,Canada,Premium
15568748,Customer 107,51,Male,Canada,Standard
15568819,Customer 108,64,Male,Germany,Standard
15568834,Customer 109,45,Female,Germany,Premium
15568849,Customer 110,21,Female,UK,Standard
15568876,Customer 111,32,Female,Germany,Premium
15568878,Customer 112,50,Female,Canada,Basic
15568885,Customer 113,35,Female,Canada,Standard
15568904,Customer 114,27,Female,Canada,Standard
15568915,Customer 115,21,Male,UK,Premium
15568953,Customer 116,44,Female,UK,Standard
15568963,Customer 117,44,Male,France,Basic
15568982,Customer 118,38,Male,UK,Basic
15569050,Customer 119,57,Female,Canada,Basic
15569079,Customer 120,41,Female,France,Basic
15569098,Customer 121,30,Female,Canada,Basic
15569120,Customer 122,19,Female,UK,Basic
15569178,Customer 123,68,Male,USA,Standard
15569187,Customer 124,30,Female,France,Basic
15569209,Customer 125,24,Female,USA,Premium
15569222,Customer 126,62,Female,Canada,Premium
15569247,Customer 127,50,Female,France,Standard
15569248,Customer 128,31,Female,Germany,Standard
15569249,Customer 129,42,Female,Germany,Premium
15569264,Customer 130,33,Female,France,Basic
15569266,Customer 131,45,Female,UK,Basic
15569274,Customer 132,56,Female,Canada,Standard
15569364,Customer 133,63,Female,UK,Basic
15569394,Customer 134,48,Female,UK,Premium
15569410,Customer 135,47,Male,USA,Standard
15569423,Customer 136,34,Female,France,Basic
15569430,Customer 137,40,Female,USA,Premium
15569432,Customer 138,39,Male,Canada,Premium
15569438,Customer 139,23,Male,UK,Basic
15569446,Customer 140,27,Female,Canada,Premium
15569451,Customer 141,31,Female,Canada,Premium
15569452,Customer 142,34,Male,Canada,Basic
15569503,Customer 143,41,Male,USA,Premium
15569526,Customer 144,55,Female,France,Premium
15569571,Customer 145,28,Female,UK,Basic
15569572,Customer 146,50,Female,Canada,Basic
15569590,Customer 147,33,Female,France,Basic
15569595,Customer 148,51,Male,UK,Standard
15569624,Customer 149,38,Male,USA,Basic
15569626,Customer 150,49,Female,UK,Basic
15569641,Customer 151,30,Female,Germany,Standard
15569654,Customer 152,54,Female,UK,Premium
15569666,Customer 153,44,Male,USA,Basic
15569670,Customer 154,67,Female,Canada,Standard
15569678,Customer 155,47,Female,Canada,Basic
15569682,Customer 156,25,Female,Germany,Premium
15569759,Customer 157,43,Female,Canada,Basic
15569764,Customer 158,36,Male,USA,Standard
15569807,Customer 159,18,Male,France,Basic
15569867,Customer 160,55,Male,France,Premium
15569878,Customer 161,21,Male,France,Basic
15569892,Customer 162,54,Female,Canada,Premium
15569917,Customer 163,70,Male,USA,Premium
15569945,Customer 164,53,Female,USA,Basic
15569976,Customer 165,67,Female,UK,Standard
15570002,Customer 166,42,Male,France,Premium
15570004,Customer 167,28,Female,Canada,Standard
15570051,Customer 168,23,Male,France,Premium
15570060,Customer 169,26,Female,Germany,Premium
15570073,Customer 170,22,Male,UK,Premium
15570086,Customer 171,43,Male,UK,Basic
15570087,Customer 172,56,Female,USA,Basic
15570134,Customer 173,32,Male,Germany,Standard
15570141,Customer 174,69,Female,Germany,Standard
15570145,Customer 175,41,Female,France,Basic
15570192,Customer 176,30,Female,Canada,Premium
15570194,Customer 177,28,Female,France,Basic
15570205,Customer 178,59,Female,USA,Basic
15570271,Customer 179,28,Female,USA,Premium
15570289,Customer 180,33,Female,Canada,Standard
15570299,Customer 181,41,Male,USA,Basic
15570326,Customer 182,58,Male,Germany,Basic
15570360,Customer 183,48,Female,UK,Basic
15570379,Customer 184,36,Male,USA,Premium
15570414,Customer 185,43,Female,Germany,Premium
15570417,Customer 186,32,Female,Canada,Standard
15570485,Customer 187,52,Male,France,Standard
15570508,Customer 188,48,Female,France,Premium
15570533,Customer 189,63,Male,USA,Standard
15570601,Customer 190,30,Male,Canada,Premium
15570629,Customer 191,68,Female,USA,Premium
15570681,Customer 192,38,Female,Germany,Standard
15570769,Customer 193,41,Female,UK,Basic
15570835,Customer 194,42,Male,UK,Premium
15570855,Customer 195,21,Female,France,Premium
15570857,Customer 196,31,Male,UK,Basic
15570859,Customer 197,41,Female,Canada,Premium
15570895,Customer 198,23,Male,France,Basic
15570908,Customer 199,32,Male,USA,Standard
15570912,Customer 200,43,Male,USA,Standard
15570931,Customer 201,43,Male,France,Basic
15570932,Customer 202,33,Female,Germany,Standard
15570943,Customer 203,51,Male,Germany,Premium
15570947,Customer 204,44,Female,Germany,Standard
15570970,Customer 205,67,Female,France,Standard
15570990,Customer 206,25,Male,France,Basic
15571002,Customer 207,31,Male,UK,Standard
15571059,Customer 208,39,Female,USA,Standard
15571065,Customer 209,21,Female,Canada,Standard
15571081,Customer 210,60,Female,Canada,Standard
15571121,Customer 211,52,Female,Germany,Premium
15571144,Customer 212,18,Female,UK,Premium
15571148,Customer 213,70,Female,UK,Premium
15571193,Customer 214,52,Male,USA,Basic
15571221,Customer 215,34,Female,USA,Standard
15571244,Customer 216,44,Female,UK,Premium
15571261,Customer 217,32,Female,Germany,Premium
15571281,Customer 218,20,Female,France,Premium
15571284,Customer 219,36,Female,Germany,Basic
15571302,Customer 220,46,Male,France,Premium
15571305,Customer 221,25,Male,USA,Basic
15571415,Customer 222,51,Male,Canada,Standard
15571476,Customer 223,64,Female,Germany,Premium
15571529,Customer 224,66,Female,Canada,Premium
15571550,Customer 225,24,Female,USA,Basic
15571571,Customer 226,41,Female,Canada,Standard
15571586,Customer 227,48,Female,USA,Basic
15571666,Customer 228,42,Female,Germany,Standard
15571689,Customer 229,46,Female,USA,Premium
15571752,Customer 230,68,Male,UK,Standard
15571756,Customer 231,29,Female,UK,Premium
15571778,Customer 232,65,Female,USA,Basic
15571816,Customer 233,49,Male,France,Standard
15571843,Customer 234,70,Male,UK,Basic
15571869,Customer 235,25,Male,USA,Basic
15571873,Customer 236,43,Male,Canada,Standard
15571917,Customer 237,51,Female,USA,Standard
15571928,Customer 238,49,Female,UK,Premium
