CustomerID,MobileAppUsage,WebPortalUsage,AvgSessionDuration,DeviceType
15634602,5,11,24,Mobile
15647311,24,3,30,Mobile
15619304,23,3,33,Mobile
15701354,18,19,33,Mobile
15737888,25,24,45,Mobile
15574012,37,13,55,Tablet
15592531,1,15,47,Desktop
15656148,30,18,21,Mobile
15792365,49,3,46,Tablet
15592389,11,9,43,Tablet
15767821,24,29,51,Desktop
15737173,33,11,19,Mobile
15632264,34,8,46,Tablet
15691483,21,17,31,Desktop
15600882,50,11,5,Tablet
15643966,25,3,42,Tablet
15737452,5,23,44,Mobile
15788218,49,7,44,Tablet
15661507,25,19,44,Desktop
15568982,11,0,57,Tablet
15577657,29,8,30,Mobile
15597945,26,0,60,Mobile
15699309,18,19,33,Mobile
15725737,7,19,35,Mobile
15625047,33,11,19,Mobile
15738191,30,18,21,Mobile
15736816,18,4,38,Desktop
15700772,43,18,28,Mobile
15728693,20,4,43,Mobile
15656300,37,3,57,Mobile
15589475,50,3,27,Tablet
15706552,40,17,43,Desktop
15750181,23,6,18,Desktop
15659428,50,12,57,Tablet
15732963,11,9,43,Tablet
15794171,50,11,5,Tablet
15788448,27,14,53,Mobile
15729599,0,14,29,Desktop
15717426,13,7,32,Tablet
15585768,48,1,22,Tablet
15619360,37,3,57,Mobile
15738148,8,6,48,Desktop
15687946,14,20,47,Desktop
15755196,2,20,51,Mobile
15684171,27,14,53,Mobile
15754849,2,20,51,Mobile
15602280,16,6,45,Desktop
15771573,11,9,43,Tablet
15766205,3,27,41,Mobile
15771873,3,20,45,Mobile
15616550,16,25,59,Desktop
15768193,5,17,47,Desktop
15683553,36,7,36,Mobile
15702298,14,24,49,Desktop
15569590,18,6,22,Tablet
15760861,44,15,17,Tablet
15630053,18,19,33,Mobile
15647091,25,3,42,Tablet
15623944,27,14,53,Mobile
15804771,26,23,58,Tablet
15651280,6,4,8,Desktop
15773469,8,0,48,Mobile
15702014,49,3,46,Tablet
15751208,14,24,49,Desktop
15592461,6,20,44,Tablet
15789484,48,22,35,Desktop
15696061,27,14,53,Mobile
15641582,11,9,43,Tablet
15638424,41,7,48,Desktop
15755648,5,11,24,Mobile
15703793,12,6,52,Desktop
15620344,21,17,31,Desktop
15812518,22,15,31,Tablet
15779052,34,15,52,Desktop
15770811,37,6,43,Desktop
15780961,30,18,21,Mobile
15614049,41,7,31,Mobile
15662085,5,4,53,Mobile
15575185,16,25,59,Desktop
15803136,41,13,15,Tablet
15706021,22,16,47,Tablet
15663706,10,26,58,Mobile
15641732,14,20,47,Desktop
15701164,14,20,47,Desktop
15738751,25,22,32,Mobile
15805254,39,0,24,Mobile
15762418,47,10,42,Tablet
15625759,21,21,47,Mobile
15622897,13,5,28,Mobile
15767954,39,1,35,Mobile
15757535,13,6,46,Tablet
15731511,6,22,16,Mobile
15809248,13,7,32,Tablet
15640635,42,8,37,Mobile
15676966,13,5,22,Desktop
15699461,44,15,10,Desktop
15738721,27,14,53,Mobile
15693683,12,1,30,Desktop
15604348,5,17,47,Desktop
15633059,40,27,5,Tablet
15808582,37,29,5,Mobile
15743192,6,22,16,Mobile
15580146,10,21,39,Mobile
15776605,6,20,44,Tablet
15804919,21,17,31,Desktop
15613854,50,12,57,Tablet
15599195,27,14,53,Mobile
15812878,22,10,33,Mobile
15602312,4,29,7,Tablet
15744689,11,16,24,Desktop
15803526,28,10,8,Mobile
15665790,44,29,35,Mobile
15715951,34,2,17,Tablet
15591100,31,20,46,Mobile
15609618,35,26,21,Tablet
15675522,8,0,48,Mobile
15705512,25,19,44,Desktop
15698028,45,26,58,Tablet
15661670,49,3,46,Tablet
15600781,1,15,47,Desktop
