CustomerID,NetPromoterScore,SatisfactionSurveyScore,CustomerLoyaltyProgram,RewardPointsBalance
15634602,78,5,No,98
15647311,-77,10,Yes,1085
15619304,47,9,No,6552
15701354,-9,5,No,529
15737888,-68,10,No,8673
15574012,89,9,Yes,3428
15592531,-26,3,No,9931
15656148,8,4,Yes,8212
15792365,-43,8,Yes,9271
15592389,-49,8,Yes,6115
15767821,-64,8,Yes,2698
15737173,47,1,No,858
15632264,-78,2,Yes,301
15691483,10,8,No,1465
15600882,-39,1,No,7558
15643966,-11,2,Yes,4604
15737452,-99,4,No,2254
15788218,-51,5,No,146
15661507,-41,6,No,2174
15568982,45,2,Yes,3326
15577657,57,1,No,236
15597945,25,9,Yes,8829
15699309,25,2,Yes,1660
15725737,83,8,No,6158
15625047,51,4,Yes,852
15738191,60,3,No,6797
15736816,-51,1,No,8289
15700772,-87,5,Yes,4957
15728693,-49,3,Yes,2992
15656300,57,1,No,236
15589475,-77,10,Yes,1085
15706552,33,9,No,412
15750181,-62,7,No,5706
15659428,-11,2,Yes,4604
15732963,-2,2,No,3722
15794171,31,4,No,9089
15788448,-77,8,No,4447
15729599,84,6,Yes,4663
15717426,-26,2,No,7318
15585768,-1,6,No,2924
15619360,14,5,No,6332
15738148,60,3,No,6797
15687946,49,5,No,6508
15755196,89,1,No,2779
15684171,33,9,No,412
15754849,89,1,No,2779
15602280,21,2,No,2217
15771573,-15,10,No,1898
15766205,76,7,Yes,7641
15771873,71,5,No,5229
15616550,-43,8,Yes,9271
15768193,-81,4,Yes,4430
15683553,-90,6,No,312
15702298,-93,10,No,9666
15569590,-31,9,Yes,5261
15760861,51,8,Yes,5900
15630053,-39,1,No,7558
15647091,34,7,No,8381
15623944,11,6,Yes,5117
15804771,-53,1,No,6575
15651280,-40,6,No,1593
15773469,-31,9,Yes,5261
15702014,-99,1,Yes,3772
15751208,89,2,Yes,1725
15592461,-69,1,Yes,9646
15789484,-42,4,No,9387
15696061,-26,2,No,7318
15641582,-10,4,No,265
15638424,67,9,Yes,5592
15755648,25,2,Yes,1660
15703793,-10,4,No,265
15620344,47,6,No,8035
15812518,49,5,No,6508
15779052,33,1,Yes,6439
15770811,86,7,No,424
15780961,-99,4,No,3074
15614049,8,4,Yes,8212
15662085,85,8,Yes,1272
15575185,-91,6,No,3147
15803136,-10,4,Yes,4600
15706021,-30,1,No,716
15663706,34,7,No,8381
15641732,50,7,No,8565
15701164,-11,2,Yes,7926
15738751,86,7,No,6839
15805254,-70,3,Yes,7639
15762418,-87,5,Yes,4957
15625759,-15,10,No,1898
15622897,-41,6,No,2174
15767954,-26,3,No,9931
15757535,-22,1,Yes,6067
15731511,-16,7,Yes,3301
15809248,57,1,No,236
15640635,57,2,Yes,6105
15676966,4,6,Yes,6017
15699461,-84,2,No,6003
15738721,89,1,No,2779
15693683,45,2,Yes,3326
15604348,-30,1,No,716
15633059,55,1,No,8897
15808582,-42,4,No,9387
15743192,-22,1,Yes,6067
15580146,-62,7,No,5706
15776605,-3,6,No,8923
15804919,-55,1,No,4084
15613854,24,4,No,2791
15599195,-53,4,Yes,5940
15812878,80,6,Yes,1963
15602312,60,3,No,6797
15744689,-89,9,Yes,6501
15803526,-38,2,Yes,9955
15665790,-29,2,Yes,8661
15715951,-84,7,No,7488
15591100,-87,5,Yes,4957
15609618,64,5,Yes,6546
15675522,47,6,No,7395
15705512,89,1,No,2779
15698028,64,5,Yes,6546
15661670,38,5,Yes,3317
15600781,10,8,No,1465
15682472,71,8,No,8328
15580203,55,1,No,8897
15690673,7,6,No,6276
15760085,-43,8,Yes,9271
15779659,25,2,Yes,1660
15627360,61,2,No,6032
15671137,-19,6,Yes,180
15782688,63,10,Yes,5053
15575492,-81,4,Yes,4430
15591607,-26,2,No,7318
15740404,-70,5,Yes,3942
15718369,-78,6,Yes,4710
15677871,-42,4,No,9387
15642004,85,8,Yes,1272
15712543,0,1,No,1938
15584518,75,5,Yes,2097
15802381,10,8,No,1465
15610156,59,8,Yes,3012
15594408,56,7,No,8815
15640905,47,1,No,858
15698932,-51,10,Yes,3586
15724944,-31,9,Yes,5261
15628145,-11,2,Yes,4604
15713483,11,6,Yes,5117
15612350,-41,1,Yes,7938
15800703,79,3,Yes,648
15705707,56,4,Yes,3302
15754105,63,10,Yes,5053
15703264,-22,1,Yes,6067
15794413,-22,1,Yes,6067
15650237,31,4,No,9089
15759618,-99,4,No,2254
15811589,11,5,No,6715
