CustomerID,CustomerSupportTickets,IssueResolutionTime,ComplaintSeverity,RefundRequests
15634602,4,53,Low,3
15647311,3,63,Low,0
15619304,2,4,Low,2
15701354,1,36,Medium,3
15737888,3,49,High,3
15574012,0,33,High,0
15592531,0,67,Low,2
15656148,4,56,Low,0
15792365,1,21,High,3
15592389,3,16,Low,2
15767821,0,25,High,2
15737173,2,56,High,3
15632264,2,41,High,3
15691483,0,34,Medium,1
15600882,3,6,Medium,0
15643966,3,60,Medium,1
15737452,2,50,High,3
15788218,2,4,Low,2
15661507,5,32,High,2
15568982,0,40,Medium,1
15577657,3,7,Low,1
15597945,1,36,Medium,3
15699309,3,34,Low,0
15725737,5,56,High,0
15625047,0,16,Low,1
15738191,2,40,Medium,1
15736816,3,2,Low,1
15700772,2,12,Low,2
15728693,4,22,High,3
15656300,1,31,Low,0
15589475,0,25,High,2
15706552,1,34,Low,0
15750181,4,15,Low,3
15659428,3,27,Medium,2
15732963,0,52,Low,1
15794171,0,61,Medium,2
15788448,3,1,Low,3
15729599,4,52,Medium,0
15717426,0,52,High,1
15585768,3,19,Medium,2
15619360,3,25,High,2
15738148,3,2,Low,1
15687946,1,31,Low,0
15755196,3,28,Low,0
15684171,4,12,Low,1
15754849,0,18,Low,2
15602280,0,12,Medium,0
15771573,4,20,Low,1
15766205,3,53,Low,3
15771873,3,2,Low,1
15616550,2,59,High,0
15768193,5,36,High,0
15683553,2,1,Low,2
15702298,4,15,Low,3
15569590,2,47,Low,3
15760861,2,41,High,3
15630053,0,18,Low,2
15647091,4,43,Medium,2
15623944,0,62,Low,0
15804771,4,10,High,1
15651280,3,45,Medium,3
15773469,3,61,Low,1
15702014,3,2,Low,3
15751208,2,72,Low,1
15592461,0,50,High,0
15789484,2,18,High,3
15696061,5,36,High,0
15641582,2,50,High,3
15638424,5,7,Low,0
15755648,4,10,High,1
15703793,4,25,Medium,2
15620344,4,38,Low,2
15812518,1,36,Medium,3
15779052,0,18,Medium,1
15770811,0,21,High,3
15780961,4,10,High,1
15614049,4,56,Low,0
15662085,0,59,Low,3
15575185,4,12,Low,1
15803136,2,18,High,3
15706021,3,40,High,3
15663706,2,18,High,3
15641732,1,34,Low,0
15701164,1,8,Low,2
15738751,4,37,Medium,0
15805254,4,45,High,0
15762418,2,4,Low,2
15625759,3,16,Low,1
15622897,3,20,Low,0
15767954,3,30,Medium,0
15757535,5,31,Low,1
15731511,0,52,High,1
15809248,2,53,Medium,2
15640635,3,1,Medium,3
15676966,4,38,Low,2
15699461,2,9,High,1
15738721,4,69,Low,0
15693683,4,14,High,3
15604348,1,12,Low,3
15633059,1,21,High,3
15808582,2,39,Low,3
15743192,4,69,High,1
15580146,0,45,Low,0
15776605,4,70,High,1
15804919,5,59,Low,1
15613854,1,32,Medium,1
15599195,1,30,High,2
15812878,2,48,High,2
15602312,2,4,Low,2
15744689,4,56,Low,0
15803526,3,53,Low,3
15665790,3,37,Low,1
15715951,4,28,High,0
15591100,3,19,Medium,2
15609618,3,25,High,2
15675522,0,68,Medium,3
15705512,3,6,Medium,0
15698028,4,11,Medium,3
15661670,4,56,Low,0
15600781,5,20,High,2
15682472,2,9,High,1
15580203,5,59,Low,1
15690673,2,14,High,1
15760085,0,18,Medium,1
15779659,5,59,Low,1
15627360,1,57,High,2
15671137,1,46,High,0
15782688,5,35,Medium,1
15575492,0,67,Low,2
15591607,1,6,Low,3
15740404,5,33,Low,3
15718369,3,61,Low,1
15677871,0,59,Low,3
15642004,1,46,High,0
15712543,4,66,High,0
15584518,5,35,Medium,1
15802381,3,18,Low,1
15610156,4,56,Low,1
15594408,1,61,Medium,3
15640905,2,45,Low,0
15698932,5,59,Low,1
15724944,4,25,Medium,2
15628145,4,46,High,0
15713483,1,8,Low,2
15612350,3,40,High,3
15800703,2,59,High,0
15705707,3,10,High,1
15754105,3,55,High,3
15703264,2,8,Medium,2
15794413,2,72,Low,1
15650237,1,46,Medium,1
15759618,2,38,Low,1
15811589,1,46,High,0
15689044,2,41,High,3
15709368,3,45,Medium,3
15679145,1,62,High,0
15655007,2,38,Low,1
