CustomerID,AutoRenewalEnabled,PaymentMethod,PaymentFailures
15760749,No,Bank Transfer,20
15589475,Yes,Bank Transfer,0
15755196,Yes,Bank Transfer,0
15683553,No,Bank Transfer,0
15651280,Yes,Bank Transfer,0
15641582,Yes,Bank Transfer,0
15580146,No,Bank Transfer,0
15776605,No,Bank Transfer,0
15705512,No,Bank Transfer,0
15591607,Yes,Bank Transfer,0
15621075,No,Bank Transfer,0
15686776,No,Bank Transfer,0
15592386,Yes,Bank Transfer,0
15688074,No,Bank Transfer,0
15684548,Yes,Bank Transfer,0
15745354,No,Bank Transfer,0
15773792,No,Bank Transfer,0
15742358,No,Bank Transfer,0
15811773,No,Bank Transfer,0
15637476,No,Bank Transfer,0
15645772,Yes,Bank Transfer,0
15766741,Yes,Bank Transfer,0
15647099,No,Bank Transfer,0
15585595,No,Bank Transfer,0
15745196,Yes,Bank Transfer,0
15747542,Yes,Bank Transfer,0
15721935,Yes,Bank Transfer,0
15697000,Yes,Bank Transfer,0
15733119,No,Bank Transfer,0
15644200,No,Bank Transfer,0
15793949,No,Bank Transfer,0
15798348,Yes,Bank Transfer,0
15762937,No,Bank Transfer,0
15660316,Yes,Bank Transfer,0
15682528,No,Bank Transfer,0
15654654,No,Bank Transfer,0
15742480,Yes,Bank Transfer,0
15617934,No,Bank Transfer,0
15743532,No,Bank Transfer,0
15671097,Yes,Bank Transfer,0
15704954,Yes,Bank Transfer,0
15743067,No,Bank Transfer,0
15600821,Yes,Bank Transfer,0
15753969,No,Bank Transfer,0
15703019,Yes,Bank Transfer,0
15714227,No,Bank Transfer,0
15647474,No,Bank Transfer,0
15654851,No,Bank Transfer,0
15791991,No,Bank Transfer,0
15582259,No,Bank Transfer,0
15704250,No,Bank Transfer,0
15772995,Yes,Bank Transfer,0
15753549,No,Bank Transfer,0
15605263,No,Bank Transfer,0
15592994,No,Bank Transfer,0
15573741,Yes,Bank Transfer,0
15744105,No,Bank Transfer,0
15815560,No,Bank Transfer,0
15594902,No,Bank Transfer,0
15790379,Yes,Bank Transfer,0
15641835,No,Bank Transfer,0
15662151,No,Bank Transfer,0
15787459,Yes,Bank Transfer,0
15710161,Yes,Bank Transfer,0
15751788,No,Bank Transfer,0
15648577,Yes,Bank Transfer,0
15785485,Yes,Bank Transfer,0
15590730,Yes,Bank Transfer,0
15642787,Yes,Bank Transfer,0
15602034,No,Bank Transfer,0
15806332,Yes,Bank Transfer,0
15588701,No,Bank Transfer,0
15707120,Yes,Bank Transfer,0
15659501,No,Bank Transfer,0
15617197,Yes,Bank Transfer,0
15631310,Yes,Bank Transfer,0
15700657,No,Bank Transfer,0
15710450,Yes,Bank Transfer,0
15800062,No,Bank Transfer,0
15600879,Yes,Bank Transfer,0
15785078,No,Bank Transfer,0
15643658,Yes,Bank Transfer,0
15582325,Yes,Bank Transfer,0
15608230,Yes,Bank Transfer,0
15680736,No,Bank Transfer,0
15642202,No,Bank Transfer,0
15663826,Yes,Bank Transfer,0
15646817,Yes,Bank Transfer,0
15705890,Yes,Bank Transfer,0
