CustomerID,NetPromoterScore,SatisfactionSurveyScore,CustomerLoyaltyProgram,RewardPointsBalance
15671137,-19.0,6,Yes,180
15655774,-19.0,6,Yes,180
15802741,-19.0,6,Yes,180
15618182,-19.0,6,Yes,180
15722993,-19.0,6,Yes,180
15783955,-19.0,6,Yes,180
15604588,-19.0,6,Yes,180
15621210,-19.0,6,Yes,180
15663885,-19.0,6,Yes,180
15622494,-19.0,6,Yes,180
15753102,-19.0,6,Yes,180
15637178,-19.0,6,Yes,180
15693732,-19.0,6,Yes,180
15807340,-19.0,6,Yes,180
15656840,-19.0,6,Yes,180
15592091,-19.0,6,Yes,180
15648225,-19.0,6,Yes,180
15681180,-19.0,6,Yes,180
15593280,-19.0,6,Yes,180
15613816,-19.0,6,Yes,180
15613734,-19.0,6,Yes,180
15578238,-19.0,6,Yes,180
15636520,-19.0,6,Yes,180
15640377,-19.0,6,Yes,180
15710105,-19.0,6,Yes,180
15806407,-19.0,6,Yes,180
15626135,-19.0,6,Yes,180
15726466,-19.0,6,Yes,180
15694677,-19.0,6,Yes,180
15700549,-19.0,6,Yes,180
15620832,-19.0,6,Yes,180
15778884,-19.0,6,Yes,180
15712608,-19.0,6,Yes,180
15762172,-19.0,6,Yes,180
15643770,-19.0,6,Yes,180
15679804,-19.0,6,Yes,180
15728885,-19.0,6,Yes,180
15662698,-19.0,6,Yes,180
15659327,-19.0,6,Yes,180
15698462,-19.0,6,Yes,180
15599956,-28.0,9,Yes,342
15794014,-28.0,9,Yes,342
15742638,-28.0,9,Yes,342
15596397,-28.0,9,Yes,342
15725355,-28.0,9,Yes,342
15746190,-28.0,9,Yes,342
15724443,-28.0,9,Yes,342
15675422,-28.0,9,Yes,342
15578006,-28.0,9,Yes,342
15644296,-28.0,9,Yes,342
15681327,-28.0,9,Yes,342
15652192,-28.0,9,Yes,342
15588461,-28.0,9,Yes,342
15656454,-28.0,9,Yes,342
15767129,-28.0,9,Yes,342
15635141,-28.0,9,Yes,342
15595609,-28.0,9,Yes,342
15613017,-28.0,9,Yes,342
15589666,-28.0,9,Yes,342
15719858,-28.0,9,Yes,342
15711843,-28.0,9,Yes,342
15566269,-28.0,9,Yes,342
15663410,-28.0,9,Yes,342
15745326,-28.0,9,Yes,342
15568885,-28.0,9,Yes,342
15795186,-28.0,9,Yes,342
15579714,-28.0,9,Yes,342
15776096,-28.0,9,Yes,342
15806134,-28.0,9,Yes,342
15811742,-28.0,9,Yes,342
15781975,-28.0,9,Yes,342
15684395,-28.0,9,Yes,342
15668009,-28.0,9,Yes,342
15740868,-28.0,9,Yes,342
15772604,-28.0,9,Yes,342
15712264,-28.0,9,Yes,342
15720924,-28.0,9,Yes,342
15574523,-28.0,9,Yes,342
15599090,100.0,9,No,417
15694506,-9.0,5,No,529
15637476,-9.0,5,No,529
15607170,-9.0,5,No,529
15643696,-9.0,5,No,529
15768201,-9.0,5,No,529
15584364,-9.0,5,No,529
15574947,-9.0,5,No,529
15621893,-9.0,5,No,529
15730397,-9.0,5,No,529
15667620,-9.0,5,No,529
15631838,-9.0,5,No,529
15593014,-9.0,5,No,529
15660541,-9.0,5,No,529
15651823,-9.0,5,No,529
15602797,-9.0,5,No,529
15568328,-9.0,5,No,529
15677052,-9.0,5,No,529
15792607,-9.0,5,No,529
15610105,-9.0,5,No,529
15680001,-9.0,5,No,529
15718216,-9.0,5,No,529
15693162,-9.0,5,No,529
15782993,-9.0,5,No,529
15696141,-9.0,5,No,529
15811947,-9.0,5,No,529
15783865,-9.0,5,No,529
15720463,-9.0,5,No,529
15776725,-9.0,5,No,529
15655658,-9.0,5,No,529
15725776,-9.0,5,No,529
