CustomerID,CustomerSupportTickets,IssueResolutionTime,ComplaintSeverity,RefundRequests
15602280,0,12,Medium,0
15704769,0,12,Medium,0
15694456,0,12,Medium,3
15636624,0,12,Medium,0
15662397,0,12,Medium,3
15721658,0,12,Medium,0
15760550,0,12,Medium,3
15807663,0,12,Medium,0
15674840,0,12,Medium,0
15662100,0,12,Medium,3
15663438,0,12,Medium,3
15650098,0,12,Medium,0
15722902,0,12,Medium,3
15600821,0,12,Medium,3
15583668,0,12,Medium,0
15796179,0,12,Medium,0
15735222,0,12,Medium,0
15746451,0,12,Medium,3
15681562,0,12,Medium,0
15615456,0,12,Medium,3
15633612,0,12,Medium,0
15792222,0,12,Medium,0
15569222,0,12,Medium,0
15604073,0,12,Medium,0
15617136,0,12,Medium,0
15752838,0,12,Medium,0
15567486,0,12,Medium,3
15712584,0,12,Medium,3
15665110,0,12,Medium,0
15581198,0,12,Medium,0
15675949,0,12,Medium,0
15610801,0,12,Medium,3
15708228,0,12,Medium,0
15721007,0,12,Medium,3
15667417,0,12,Medium,3
15768293,0,12,Medium,0
15672330,0,12,Medium,0
15578251,0,12,Medium,0
15577999,0,12,Medium,3
15804709,0,12,Medium,3
15775293,0,12,Medium,3
15738546,0,12,Medium,0
15677052,0,12,Medium,3
15634218,0,12,Medium,3
15684461,0,12,Medium,3
15779809,0,12,Medium,3
15578435,0,12,Medium,0
15617082,0,12,Medium,3
15622532,0,12,Medium,3
15674932,0,12,Medium,0
15610002,0,12,Medium,0
15620758,0,12,Medium,3
15582335,0,12,Medium,0
15740406,0,12,Medium,0
15579548,0,12,Medium,3
15633866,0,12,Medium,0
15624744,0,12,Medium,0
15674149,0,12,Medium,0
15785559,0,12,Medium,3
15736043,0,12,Medium,3
15631871,0,12,Medium,0
15706036,0,12,Medium,3
15648067,0,12,Medium,3
15677550,0,12,Medium,0
15625761,0,12,Medium,0
15799600,0,12,Medium,3
15584090,0,12,Medium,0
15705313,0,12,Medium,0
15591942,0,12,Medium,0
15710316,0,12,Medium,0
15605059,0,12,Medium,3
15795571,0,12,Medium,3
15787602,0,12,Medium,3
15649086,0,12,Medium,3
