CustomerID,NetPromoterScore,SatisfactionSurveyScore,CustomerLoyaltyProgram,RewardPointsBalance
15671137.0,-19.0,6,Yes,180
15655774.0,-19.0,6,Yes,180
15802741.0,-19.0,6,Yes,180
15618182.0,-19.0,6,Yes,180
15722993.0,-19.0,6,Yes,180
15783955.0,-19.0,6,Yes,180
15604588.0,-19.0,6,Yes,180
15621210.0,-19.0,6,Yes,180
,-19.0,6,Yes,180
15663885.0,-19.0,6,Yes,180
15622494.0,-19.0,6,Yes,180
15753102.0,-19.0,6,Yes,180
15637178.0,-19.0,6,Yes,180
15693732.0,-19.0,6,Yes,180
15807340.0,-19.0,6,Yes,180
15656840.0,-19.0,6,Yes,180
15592091.0,-19.0,6,Yes,180
15648225.0,-19.0,6,Yes,180
15681180.0,-19.0,6,Yes,180
15593280.0,-19.0,6,Yes,180
15613816.0,-19.0,6,Yes,180
,-19.0,6,Yes,180
15613734.0,-19.0,6,Yes,180
15578238.0,-19.0,6,Yes,180
15636520.0,-19.0,6,Yes,180
15640377.0,-19.0,6,Yes,180
15710105.0,-19.0,6,Yes,180
15806407.0,-19.0,6,Yes,180
,-19.0,6,Yes,180
15626135.0,-19.0,6,Yes,180
15726466.0,-19.0,6,Yes,180
15694677.0,-19.0,6,Yes,180
15700549.0,-19.0,6,Yes,180
15620832.0,-19.0,6,Yes,180
15778884.0,-19.0,6,Yes,180
15712608.0,-19.0,6,Yes,180
15762172.0,-19.0,6,Yes,180
15643770.0,-19.0,6,Yes,180
15679804.0,-19.0,6,Yes,180
15728885.0,-19.0,6,Yes,180
15662698.0,-19.0,6,Yes,180
15659327.0,-19.0,6,Yes,180
15698462.0,-19.0,6,Yes,180
,-19.0,6,Yes,180
,-19.0,6,Yes,180
15599956.0,-28.0,9,Yes,342
15794014.0,-28.0,9,Yes,342
15742638.0,-28.0,9,Yes,342
15596397.0,-28.0,9,Yes,342
15725355.0,-28.0,9,Yes,342
15746190.0,-28.0,9,Yes,342
15724443.0,-28.0,9,Yes,342
15675422.0,-28.0,9,Yes,342
15578006.0,-28.0,9,Yes,342
15644296.0,-28.0,9,Yes,342
15681327.0,-28.0,9,Yes,342
15652192.0,-28.0,9,Yes,342
15588461.0,-28.0,9,Yes,342
15656454.0,-28.0,9,Yes,342
15767129.0,-28.0,9,Yes,342
15635141.0,-28.0,9,Yes,342
15595609.0,-28.0,9,Yes,342
15613017.0,-28.0,9,Yes,342
15589666.0,-28.0,9,Yes,342
15719858.0,-28.0,9,Yes,342
15711843.0,-28.0,9,Yes,342
15566269.0,-28.0,9,Yes,342
15663410.0,-28.0,9,Yes,342
15745326.0,-28.0,9,Yes,342
15568885.0,-28.0,9,Yes,342
15795186.0,-28.0,9,Yes,342
15579714.0,-28.0,9,Yes,342
15776096.0,-28.0,9,Yes,342
15806134.0,-28.0,9,Yes,342
15811742.0,-28.0,9,Yes,342
15781975.0,-28.0,9,Yes,342
15684395.0,-28.0,9,Yes,342
15668009.0,-28.0,9,Yes,342
15740868.0,-28.0,9,Yes,342
15772604.0,-28.0,9,Yes,342
15712264.0,-28.0,9,Yes,342
15720924.0,-28.0,9,Yes,342
15574523.0,-28.0,9,Yes,342
15599090.0,200.0,9,No,417
,-9.0,5,No,529
15694506.0,-9.0,5,No,529
15637476.0,-9.0,5,No,529
15607170.0,-9.0,5,No,529
15643696.0,-9.0,5,No,529
15768201.0,-9.0,5,No,529
,-9.0,5,No,529
15584364.0,-9.0,5,No,529
15574947.0,-9.0,5,No,529
15621893.0,-9.0,5,No,529
15730397.0,-9.0,5,No,529
15667620.0,-9.0,5,No,529
