CustomerID,CustomerSupportTickets,IssueResolutionTime,ComplaintSeverity,RefundRequests
15640635.0,,1,Medium,3
15593365.0,,1,Medium,3
15585961.0,,1,Medium,3
,,1,Low,3
15603088.0,,1,Low,3
15767894.0,,1,Low,2
15640917.0,,1,Low,3
15662751.0,,1,Low,3
15614635.0,,1,Low,3
15573171.0,,1,Medium,3
15773804.0,,1,Medium,3
15779496.0,,1,Low,3
,,1,Low,3
15740557.0,,2,Low,3
15589147.0,,2,Low,1
15609286.0,,3,Low,1
15600911.0,,3,Medium,1
15723989.0,,3,Low,1
15803790.0,,4,Low,2
15743818.0,,4,Low,2
15643359.0,,4,Low,2
15735837.0,,4,Low,2
15785798.0,,6,Low,3
15639946.0,,6,Medium,0
15597033.0,,6,Medium,0
15570051.0,,6,Low,3
15791114.0,,6,Medium,0
15740104.0,,7,Low,0
15715541.0,,7,Low,0
15602841.0,,7,Low,0
15795878.0,,7,Low,1
15717231.0,,7,Low,0
15636860.0,,7,Low,1
15772329.0,,7,High,3
15646374.0,,7,Low,0
15737025.0,,7,Low,0
15762110.0,,8,Medium,0
15668058.0,,8,Low,2
15643824.0,,8,Low,2
15668472.0,,8,Medium,2
15647266.0,,8,Low,2
15727311.0,,8,Medium,0
15685314.0,,8,Low,2
,,8,Medium,0
15807768.0,,8,Low,2
15754113.0,,8,Low,2
15571244.0,,8,Medium,0
15792986.0,,8,Low,2
15784000.0,,8,Low,2
15767804.0,,8,Low,2
15730590.0,,8,Low,2
15761554.0,,8,Medium,0
15571529.0,,8,Medium,0
,,8,Medium,0
15783501.0,,9,High,1
15589643.0,,9,High,1
15789201.0,,9,Low,1
15705379.0,,9,Low,1
,,9,High,1
15780961.0,,10,High,1
15670943.0,,10,High,1
15644878.0,,10,High,1
,,10,High,1
15615296.0,,10,High,1
,,10,High,1
15617705.0,,11,Medium,3
15631072.0,,11,Medium,0
15709846.0,,11,Medium,2
15726490.0,,11,Medium,0
15629787.0,,11,Medium,2
15751203.0,,11,Medium,0
15765287.0,,11,Medium,2
15738835.0,,11,Medium,3
15743709.0,,11,Medium,2
15722701.0,,11,Medium,0
15686099.0,,11,Medium,0
15702741.0,,12,Medium,3
15720662.0,,12,Low,2
15737506.0,,12,Low,3
,,12,Low,2
15718465.0,,12,Low,2
15794849.0,,12,Low,3
15596647.0,,12,Medium,0
15626044.0,,12,Low,3
15790935.0,,12,Low,1
15567431.0,,12,Low,2
15666711.0,,12,Low,3
15588928.0,,12,Medium,3
15770711.0,,12,Medium,3
15757759.0,,12,Low,1
15705383.0,,12,Low,2
15596624.0,,12,Medium,3
,,12,Low,2
